Rank,Name,Team,Position,Height,Weight,Age,Wingspan,Points (pts),TS%,3P%,3PA/G,Rebounds (reb),REB%,Assists (ast),TOV/G,Blocks (blk),BLK%,Steals (stl),STL%,FT%
26,Johnny Furphy,Kansas,Forward,6'7.5",189,19.5,6'8",9.0,60.9,35.2,3.8,4.9,12.7,1.0,0.8,N/A,N/A,N/A,N/A,N/A
27,Yves Missi,Baylor,Center,6'10.8",229,19.4,7'2",10.7,62.2,N/A,N/A,5.6,16.9,N/A,N/A,1.5,7.3,0.6,1.5,N/A
28,Pacome Dadiet,Ratiopharm Ulm (Germany),Forward,6'7.8",217,18.9,6'9",6.6,61.9,35.8,2.3,2.3,9.6,N/A,N/A,N/A,N/A,0.5,1.9,N/A
29,Kyshawn George,Miami,Forward,6'7",209,20.5,6'10",7.6,58.2,40.8,4.2,3.0,7.9,2.2,1.5,N/A,N/A,N/A,N/A,N/A
30,Jonathan Mogbo,San Francisco,Forward,6'6.3",217,22.6,7'2",14.2,64.8,N/A,N/A,14.1,22.0,N/A,N/A,1.1,3.5,2.2,3.2,N/A
31,Jaylon Tyson,California,Forward,6'5.5",218,21.5,6'8",19.6,55.7,36.0,4.5,6.8,11.7,3.5,3.1,N/A,N/A,N/A,N/A,N/A
32,Adem Bona,UCLA,Center,6'8.3",243,21.2,7'4",12.4,61.9,N/A,N/A,5.9,14.4,N/A,N/A,1.8,8.7,1.1,2.6,N/A
33,Tyler Smith,G League Ignite,Forward,6'9",224,19.6,7'1",9.3,42.6,33.3,2.0,5.0,11.7,N/A,N/A,1.0,4.5,N/A,N/A,N/A
34,DaRon Holmes,Dayton,Center,6'9",236,21.8,7'0.5",20.4,62.7,38.6,2.5,8.5,17.3,N/A,N/A,2.1,7.2,N/A,N/A,N/A
35,Kyle Filipowski,Duke,Center,6'10.8",230,20.6,6'11",16.4,57.5,34.8,3.1,8.3,17.0,2.8,2.1,N/A,N/A,N/A,N/A,N/A
36,Kevin McCullar Jr.,Kansas,Wing,6'5.3",206,23.2,6'9",18.3,56.7,33.3,4.5,6.0,11.2,4.1,2.5,N/A,N/A,N/A,N/A,N/A
37,Pelle Larsson,Arizona,Wing,6'5.3,212,23.3,6'7.8",12.8,62.2,42.6,3.0,4.1,7.8,3.7,1.9,N/A,N/A,N/A,N/A,N/A
38,KJ Simpson,Colorado,Guard,6'0.3",187,21.8,6'4.5",19.7,60.6,43.4,4.9,5.8,10.7,4.9,2.2,N/A,N/A,N/A,N/A,N/A
39,Jaylen Wells,Washington State,Forward,6'6.5",205,20.8,6'7.3",12.6,58.5,41.7,4.9,4.6,9.2,1.2,0.7,N/A,N/A,N/A,N/A,N/A
40,Nikola Djurisic,Mega Basket,Wing,6'7",209,20.3,6'8",14.8,55.9,30.5,3.6,2.8,6.0,3.4,3.2,N/A,N/A,N/A,N/A,N/A
41,Harrison Ingram,North Carolina,Forward,6'5.3",234,21.5,7'0.3",12.2,53.0,38.5,4.6,8.8,15.9,2.2,1.4,N/A,N/A,N/A,N/A,N/A
42,Cam Christie,Minnesota,Shooting Guard,6'4.5",190,18.9,6'8",11.3,54.6,39.1,5.4,3.6,7.8,2.2,1.2,N/A,N/A,N/A,N/A,N/A
43,Cam Spencer,UConn,Wing,6'3",205,24.2,6'5",14.3,64.0,44.0,5.6,4.9,9.4,3.6,1.0,N/A,N/A,N/A,N/A,N/A
44,Melvin Ajinça,Saint-Quentin (LNB Pro A),Shooting Guard,6'7.3",214,20.0,6'7.5",10.2,56.0,35.7,5.6,3.5,8.9,0.7,0.7,N/A,N/A,N/A,N/A,N/A
45,Trentyn Flowers,Adelaide (NBL),Forward,6'6.5",201,19.3,6'8.3",5.5,52.6,35.7,1.3,3.1,11.4,0.6,1.5,N/A,N/A,N/A,N/A,N/A
46,Jalen Bridges,Baylor,Wing,6'6.8",213,23.1,6'10",12.2,61.5,41.2,5.1,5.7,12.4,1.4,1.0,N/A,N/A,N/A,N/A,N/A
47,Oso Ighodaro,Marquette,Center,6'9.5",222,21.9,6'11",13.4,59.0,N/A,N/A,6.9,13.3,2.9,1.8,1.3,4.7,N/A,N/A,N/A
48,Quinten Post,Boston College,Center,7'0",244,24.2,7'2.5",17.0,60.7,43.1,3.3,8.1,15.8,2.9,2.5,N/A,N/A,N/A,N/A,N/A
49,Antonio Reeves,Kentucky,Guard,6'4.5",186,23.6,6'8.3",20.2,N/A,44.7,5.7,4.2,7.2,1.6,0.7,N/A,N/A,N/A,N/A,N/A
50,Juan Nunez,Ratiopharm Ulm (Germany),Point Guard,6'4,190,20.0,6'6.5",9.9,N/A,31.9,2.6,3.4,N/A,4.9,2.3,N/A,N/A,1.7,N/A,N/A
51,Enrique Freeman,Akron,Forward,6'7",212,23.9,7'2",18.6,N/A,37.0,N/A,12.9,23.2,N/A,N/A,1.7,N/A,0.8,N/A,72.8
52,Zyon Pullin,Florida,Point Guard,6'4",210,23.3,6'6",15.5,57.4,44.9,2.4,3.9,6.6,4.9,1.3,N/A,N/A,N/A,N/A,N/A
53,Keshad Johnson,Arizona,Forward,6'6.3",224,23.0,6'10",11.5,61.6,38.7,2.6,5.9,12.3,1.8,1.6,N/A,N/A,N/A,N/A,N/A
54,AJ Johnson,Illawarra (NBL),Combo Guard,6'4.3",167,19.5,6'9",2.9,N/A,27.8,1.2,1.2,N/A,0.8,0.7,N/A,N/A,N/A,N/A,N/A
55,Jamal Shead,Houston,Point Guard,6'0.3",201,21.9,6'3",12.9,49.5,30.9,3.8,3.7,7.5,6.3,2.0,N/A,N/A,N/A,N/A,N/A
56,Justin Edwards,Kentucky,Wing,6'6",209,20.5,6'10",8.8,58.2,36.5,2.7,3.4,9.4,N/A,N/A,N/A,N/A,0.9,2.2,N/A
57,Tristen Newton,UConn,Guard,6'3.3",192,23.1,6'6.8",15.1,56.1,32.1,5.5,6.6,12.6,6.2,2.5,N/A,N/A,N/A,N/A,N/A
58,Bronny James,USC,Combo Guard,6'1.5",210,19.7,6'7.3",4.8,47.2,26.7,2.4,2.8,9.4,2.1,1.1,N/A,N/A,N/A,N/A,N/A
59,Ajay Mitchell,UC Santa Barbara,Combo Guard,6'3.3",197,22.0,6'6.3",20.0,61.2,39.3,2.9,4.0,8.4,4.0,2.6,N/A,N/A,N/A,N/A,N/A
60,Ulrich Chomche,NBA Academy,Center,6'10.3",232,18.4,7'4",13.0,56.1,38.1,7.0,9.0,13.6,N/A,N/A,2.7,7.5,N/A,N/A,N/A
61,Anton Watson,Gonzaga,Forward,6'8",225,23.7,7'0",14.5,N/A,41.2,1.5,7.1,N/A,2.6,N/A,0.7,N/A,1.5,N/A,N/A
62,N'Faly Dante,Oregon,Center,6'10",260,22.6,7'6",17.0,N/A,N/A,N/A,9.2,17.3,N/A,N/A,1.9,6.6,1.7,3.2,N/A
63,PJ Hall,Clemson,Forward,6'8.3",240,22.3,7'1.5",18.3,57.9,31.5,4.6,6.4,13.6,N/A,N/A,1.4,5.6,N/A,N/A,N/A
64,Ariel Hukporti,Riesen Ludwigsburg (Bundesliga),Center,6'11",246,22.2,7'2.5",5.0,N/A,N/A,N/A,6.3,N/A,N/A,N/A,1.0,N/A,0.3,N/A,N/A
65,Isaiah Crawford,Louisiana Tech,Forward,6'6",220,22.6,7'0",16.3,57.9,39.3,N/A,6.2,10.6,2.4,2.5,N/A,N/A,2.1,3.8,N/A
66,Trey Alexander,Creighton,Guard,6'3.3",187,21.1,6'10",17.6,N/A,33.9,5.2,5.7,8.8,4.7,2.5,N/A,N/A,N/A,N/A,N/A
67,Dillon Jones,Weber State,Forward,6'4.5",237,22.6,6'11",20.8,59.7,32.4,3.4,9.8,17.9,5.2,3.0,N/A,N/A,N/A,N/A,N/A
68,Judah Mintz,Syracuse,Point Guard,6'3",176,20.9,6'3.5",18.8,54.3,28.2,2.7,3.2,5.8,4.4,2.9,N/A,N/A,N/A,N/A,N/A
69,Mantas Rubstavicius,New Zealand Breakers (ABL),Forward,6'6",185,22.1,6'7",9.5,N/A,43.3,2.9,2.1,N/A,1.1,1.0,N/A,N/A,N/A,N/A,N/A
70,Reece Beekman,Virginia,Guard,6'2.3",190,22.8,6'6.3",9.5,53.2,32.7,2.8,3.6,7.5,6.2,2.0,0.7,3.6,2.0,3.6,N/A
